0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3110,,2145,,1976,,,1677,,,,,,,1636,1251,,847,,,,,,1642,,,,,1484,,,,2493,,,1949,,802,,,,,,,,,337,,0,,,,,,2134,,,,,,,,3169,1392,,,,,,974,,,,,1671,,1723,,,,,,,,,,,,3259,,,,,,,,,,2609,,1520,,,,,,789,,,,,,,,,,,,,,,1072,,1878,,1366,,1677,,,,,,,,,,922,,,1393,,,,510,,,,,,,,3276,,,,,,,,,,,,,,,,,,,,,,,,,,1001,,970,,,,,,
,,,,,,,,,,,1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,2195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,768,,,,,,,,,,,,,,,,,692,,,,,,,,,,,,,0,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2957,,1819,1224,1536,,,,1539,,717,,,,,,,,,,,,,,,,,,,,944,,1731,,2316,1205,,,,1731,,,,,,,818,,,,,0,,,1919,,2119,,,,,,,,,,,1080,,,1433,,,,1023,,,,,,,,,,,,1804,,3137,,,,,,1398,,560,1596,1879,,891,,,,,,,,,1094,1560,,,,,,,,,,,,,1339,,,,942,,,2464,,,1190,,,,,,,,,,,358,,1794,,,,,,3182,,,,,,1605,,715,,817,,,,,,,,1051,,,,,,,,,,,,,,,,
,2840,,1813,,1619,,,1308,,,1127,,,,,,,,,,,,,,,,,,,,1102,,2184,,2770,1609,,,,,,,,475,,,336,,,,900,,0,,1833,,,,,,,,2900,,,,,,,,1566,,,,1489,,,,1411,,,,,,796,,,,3001,,,740,,,,1502,,1675,2257,,,,,,,511,,,,,,,,,,,,,,,,,,1509,,,,1334,,,,,,,2924,1670,,,1638,,,,,,,,,,1002,,,,3029,,,,,,,,,,1262,,1485,,,,,,1478,1259,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1784,,,,,1606,2204,,,1650,,,,,1603,,,,,,,,1951,,,,1792,,,,,,,,2026,1829,,2134,,,1919,1833,,0,,,,1919,,,,,,,,,,,1884,,,1691,,,,,1935,,,2006,,,,,,,,,1857,,,,,,,1869,,,,,1890,,,,1880,1965,,,3013,475,1649,,,,,,,,,2072,,,,,,,,,,,,,,,,,2826,,,,,,1746,1774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,848,493,,,,,,,,,,383,,,1173,,,,,,,,,,,,,,,572,,,539,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603,,,,,,,,,,,,,,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,1993,,467,1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1028,,,1805,,,,,,,,,,,,,,,1822,,,,,,,,,,1769,,1992,,,,,1700,,,,,1513,,,,2119,,,,,0,,,,1361,,,,,,,,,2043,,,,,,,,,,,,,,,,,,,,,,,,,741,,,,,,1377,,,,,,2159,1498,,,,,,,,,,,,,,,,,,,,1713,,,,,,,,,,,,,,,,,2040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
